Well No,Well Type,District,Tahsil / Taluk,Block / Mandal,Village,Northing,Easting,Elevation of Ground Level,Aquifer Zone,Command Area,Coord Validated,geology_type,aquifer_classification
BPL001-OW,Observation Well,Unknown,Berasia,Berasia,Naziabad,23.798333,77.250278,457.9,,,False,Basalt,Weathered
BPL002-OW,Observation Well,Unknown,Berasia,Berasia,Ramgarha,23.653611,77.354722,488.645,,,False,Basalt,Weathered
BPL003-OW,Observation Well,Unknown,Berasia,Berasia,Hinoti,23.493333,77.473611,476.22,,,False,Basalt,Weathered
BPL004-OW,Observation Well,Unknown,Berasia,Berasia,Parsora,23.683611,77.310556,465.63,,,False,Basalt,Weathered
BPL005-OW,Observation Well,Unknown,Berasia,Berasia,Kulahar,23.640833,77.516111,463.85,,,False,Basalt,Weathered
BPL006A-OW,Observation Well,Unknown,Berasia,Berasia,Bhainsonda,23.663333,77.335278,484.0,,,False,Basalt,Weathered
BPL007A-OW,Observation Well,Unknown,Berasia,Berasia,Barasia,23.637778,77.433611,451.0,,,False,Basalt,Weathered
BPL008A-OW,Observation Well,Unknown,Berasia,Berasia,Mani khedi,23.66,77.196667,507.0,,,False,Basalt,Weathered
BPL009-OW,Observation Well,Unknown,Hujur,Fanda,Golekhedi,23.381389,77.398889,480.396,,,False,Vindhyan,Weathered
BPL010A-OW,Observation Well,Unknown,Hujur,Fanda,Adampur,23.268889,77.386389,466.0,,,False,Basalt,Weathered
BPL011A-OW,Observation Well,Unknown,Hujur,Fanda,Misrod,23.1575,77.465278,519.0,,,False,Basalt,Weathered
BPL012A-OW,Observation Well,Unknown,Hujur,Fanda,Khajuri Sadak,23.240278,77.251944,518.0,,,False,Basalt,Weathered
BPL013-OW,Observation Well,Unknown,Berasia,Berasia,Arera colony,23.230556,77.427778,503.0,,,False,Basalt,Weathered
BPL014A-OW,Observation Well,Unknown,Hujur,Fanda,Perwalia Sadak,23.327778,77.271667,484.0,,,False,Basalt,Weathered
BPL015-OW,Observation Well,Unknown,Hujur,Fanda,Ratibad,23.354167,77.280556,503.9,,,False,Basalt,Weathered
BPL016A-OW,Observation Well,Unknown,Hujur,Fanda,Pipalner,23.303333,77.335278,598.0,,,False,Basalt,Weathered
BPL017A-OW,Observation Well,Unknown,Hujur,Fanda,Mungalia hat,23.354167,77.2625,514.0,,,False,Basalt,Weathered
BPL018-OW,Observation Well,Unknown,Hujur,Fanda,Jhirniya,23.350556,77.237222,500.9,,,False,Basalt,Weathered
BPL019-OW,Observation Well,Unknown,Hujur,Fanda,Kurana,23.329167,77.324444,494.92,,,False,Basalt,Weathered
BPL020A-OW2016,Observation Well,Unknown,Berasia,Berasia,Bagmugaliya,23.192778,77.4725,495.0,,,False,Vindhyan,Weathered
BPL021A-OW,Observation Well,Unknown,Hujur,Fanda,Ahemadpur,23.191111,77.618056,537.0,,,False,Basalt,Weathered
BPL022-OW,Observation Well,Unknown,Hujur,Fanda,Babdia Kala,23.180278,77.443611,535.0,,,False,Basalt,Weathered
BPL023-OW,Observation Well,Unknown,Hujur,Fanda,Beenapur,23.381111,77.387222,482.45,,,False,Basalt,Weathered
BPL024A-OW,Observation Well,Unknown,Hujur,Fanda,Intkhedi,23.365833,77.396944,479.28,,,False,Basalt,Weathered
BPL025-OW,Observation Well,Unknown,Hujur,Fanda,Parewa kheda,23.331389,77.378611,495.0,,,False,Basalt,Weathered
BPL026-OW,Observation Well,Unknown,Hujur,Fanda,Dupadia,23.436944,77.395278,475.82,,,False,Basalt,Weathered
