well_id,geology,n_test,rmse_m,mae_m,r2,nse
BPL061-OW,Vindhyan,14,0.346,0.238,0.922,0.922
BPL088-OW,Basalt,14,0.372,0.292,0.912,0.912
BPL077-OW,Basalt,14,0.39,0.328,0.811,0.811
SGR116-OW,Basalt,14,0.396,0.319,0.886,0.886
SGR044-OW,Basalt,14,0.417,0.338,0.46,0.46
SGR030-OW,Basalt,14,0.441,0.328,0.625,0.625
SGR055-OW,Basalt,14,0.473,0.391,0.922,0.922
SGR102-OW,Vindhyan,14,0.5,0.336,0.39,0.39
CHHAT086-OW,Granite,13,0.509,0.394,-0.114,-0.114
SGR019-OW,Basalt,14,0.513,0.387,0.296,0.296
SGR075-OW,Basalt,14,0.522,0.432,0.88,0.88
SGWL079-OW,Vindhyan,14,0.527,0.406,0.589,0.589
SAGAR001-PZ,Basalt,61,0.551,0.423,0.587,0.587
SGR058-OW,Basalt,14,0.582,0.493,0.872,0.872
SGWL024-OW,Granite,14,0.583,0.51,0.261,0.261
SGWL007-OW,Vindhyan,14,0.586,0.462,0.441,0.441
SJBP013-OW,Basalt,14,0.604,0.458,0.442,0.442
BPL085-OW,Basalt,14,0.606,0.486,0.855,0.855
SGR097-OW,Basalt,14,0.607,0.491,0.619,0.619
SGR096-OW,Vindhyan,14,0.608,0.495,0.763,0.763
SGR089-OW,Basalt,14,0.609,0.497,0.757,0.757
BPL073-OW,Basalt,14,0.631,0.525,0.839,0.839
BPL016A-OW,Basalt,14,0.639,0.519,0.818,0.818
SGR103-OW,Vindhyan,13,0.64,0.485,0.404,0.404
BPL058A-OW,Basalt,14,0.641,0.55,0.725,0.725
SGUN011A-OW,Basalt,14,0.652,0.527,0.819,0.819
SGR035-OW,Basalt,14,0.657,0.544,0.691,0.691
Tikm014-PZ,Granite,21,0.659,0.502,0.655,0.655
SGR005-OW,Vindhyan,14,0.661,0.602,0.741,0.741
SGR079-OW,Basalt,14,0.664,0.559,0.834,0.834
BPL083A-OW,Basalt,14,0.664,0.513,0.808,0.808
SGR041-OW,Basalt,14,0.673,0.507,0.832,0.832
BPL062A-OW,Basalt,14,0.683,0.542,0.853,0.853
SGWL028-OW,Vindhyan,14,0.686,0.556,0.272,0.272
SGUN009-OW,Basalt,14,0.687,0.571,0.893,0.893
SGWL022-OW,Vindhyan,14,0.694,0.6,0.248,0.248
BPL093-OW,Basalt,14,0.696,0.596,0.887,0.887
SGR028-OW,Basalt,14,0.698,0.541,0.387,0.387
SGR045-OW,Basalt,14,0.701,0.559,0.857,0.857
CHHAT008-OW,Granite,13,0.709,0.534,0.033,0.033
SJBP059-OW-A,Basalt,14,0.712,0.612,0.706,0.706
SGR022-OW,Vindhyan,14,0.717,0.578,0.838,0.838
SGUN032-OW,Basalt,14,0.726,0.629,0.814,0.814
SJBP006-OW-A,Basalt,14,0.732,0.595,0.632,0.632
SGWL086-OW,Vindhyan,14,0.735,0.611,0.499,0.499
BPL004-OW,Basalt,14,0.737,0.533,0.765,0.765
SGWL064-OW,Vindhyan,14,0.737,0.613,0.592,0.592
SGWL025-OW,Vindhyan,14,0.742,0.645,0.419,0.419
Sag-PZ-03,Vindhyan,61,0.742,0.516,0.804,0.804
CHHAT026-OW,Granite,13,0.745,0.562,0.45,0.45
SGR050-OW,Basalt,14,0.755,0.601,0.784,0.784
BPL-PZ-09,Basalt,50,0.764,0.581,0.702,0.702
BPL018-OW,Basalt,13,0.775,0.626,0.813,0.813
CHHAT034-OW,Granite,13,0.778,0.613,0.286,0.286
BPL017A-OW,Basalt,14,0.782,0.637,0.845,0.845
BPL002-OW,Basalt,14,0.784,0.555,0.784,0.784
SGR106-OW,Basalt,14,0.785,0.637,0.896,0.896
SGR003-OW,Basalt,14,0.787,0.678,0.848,0.848
CHHAT017-OW,Granite,13,0.792,0.638,0.434,0.434
CHHAT007-OW,Granite,12,0.793,0.575,0.131,0.131
BPL035-OW,Basalt,14,0.8,0.666,0.773,0.773
SGWL026-OW,Vindhyan,5,0.802,0.64,-0.37,-0.37
SJBP037-OW,Vindhyan,14,0.802,0.619,0.663,0.663
SGUN005-OW,Basalt,14,0.803,0.717,0.869,0.869
SGWL057-OW,Vindhyan,14,0.803,0.559,0.198,0.198
CHHAT064-OW,Granite,13,0.806,0.744,-0.217,-0.217
SGR098-OW,Granite,14,0.808,0.675,0.46,0.46
SGR068-OW,Basalt,14,0.814,0.686,0.928,0.928
SGR110-OW,Basalt,14,0.816,0.658,0.777,0.777
SJBP064-OW,Unknown,13,0.824,0.568,0.297,0.297
SGR087-OW,Basalt,12,0.825,0.699,0.833,0.833
SGR014-OW,Basalt,14,0.825,0.609,0.76,0.76
CHHAT075-OW,Granite,13,0.826,0.565,-0.937,-0.937
SGR004-OW,Basalt,14,0.829,0.566,0.749,0.749
CHHAT028-OW,Granite,8,0.831,0.587,-1.0,-1.0
SGR001-OW,Granite,14,0.831,0.638,0.792,0.792
SGUN003-OW,Basalt,14,0.845,0.662,0.863,0.863
TKM087-OW,Granite,14,0.848,0.611,0.537,0.537
CHHAT054-OW,Granite,13,0.855,0.678,-1.0,-1.0
TKM035-OW,Granite,14,0.856,0.523,-0.436,-0.436
CHHAT022-OW,Granite,13,0.87,0.721,0.407,0.407
SGUN013A-OW,Basalt,14,0.875,0.805,0.852,0.852
SGR048-OW,Basalt,14,0.879,0.781,0.862,0.862
BPL043-OW,Basalt,14,0.88,0.725,0.873,0.873
SGR114-OW,Basalt,14,0.891,0.773,0.857,0.857
SGR077-OW,Vindhyan,14,0.896,0.646,0.702,0.702
BPL076A-OW,Basalt,14,0.9,0.712,0.881,0.881
SJBP033-OW-A,Unknown,14,0.9,0.732,0.182,0.182
BPL027A-OW,Basalt,14,0.9,0.676,0.74,0.74
SGR129-OW,Basalt,14,0.906,0.733,0.694,0.694
TKM001-OW,Granite,13,0.913,0.792,-0.617,-0.617
Tikm010-PZ,Granite,16,0.915,0.737,0.642,0.642
BPL032A-OW,Basalt,14,0.916,0.648,0.755,0.755
SGR127-OW,Basalt,14,0.923,0.749,0.716,0.716
SJBP034-OW-A,Unknown,12,0.932,0.772,-0.533,-0.533
CHHAT045-OW,Vindhyan,13,0.933,0.849,0.117,0.117
BPL026-OW,Basalt,14,0.936,0.851,0.793,0.793
BPL041A-OW,Basalt,14,0.938,0.784,0.803,0.803
CHHAT041-OW,Granite,13,0.938,0.761,0.056,0.056
SGWL021-OW,Vindhyan,14,0.938,0.83,-0.96,-0.96
SGWL069-OW,Vindhyan,14,0.939,0.797,-0.376,-0.376
SGR008-OW,Basalt,13,0.94,0.82,0.859,0.859
BPL063-OW,Vindhyan,14,0.948,0.821,0.46,0.46
SGR047-OW,Basalt,14,0.951,0.82,0.702,0.702
SGR099-OW,Basalt,14,0.951,0.83,0.59,0.59
TKM089-OW,Granite,13,0.955,0.605,-0.283,-0.283
Chhat007-PZ,Granite,30,0.955,0.57,0.17,0.17
SGR128-OW,Basalt,14,0.958,0.743,0.52,0.52
SGR088-OW,Basalt,14,0.958,0.834,0.67,0.67
SGWL044-OW,Vindhyan,14,0.96,0.746,0.053,0.053
SAGAR008,Basalt,61,0.96,0.753,0.541,0.541
SGR024-OW,Vindhyan,14,0.961,0.801,0.717,0.717
SIND155-OW,Basalt,14,0.962,0.767,0.862,0.862
SGR105-OW,Vindhyan,13,0.967,0.628,-0.039,-0.039
SGR119-OW,Basalt,14,0.967,0.837,0.759,0.759
SIND001-OW,Basalt,14,0.968,0.845,0.623,0.623
SGR018-OW,Vindhyan,14,0.969,0.821,0.693,0.693
SGUN002-OW,Basalt,13,0.97,0.833,0.8,0.8
SGWL041-OW,Vindhyan,14,0.971,0.942,-1.0,-1.0
