Well No,Depth To,LyrId,Lithology,Colour,Texture,Shape,Drill Time
"SIND-001-PZ",2.664,,"B.C.soil","black","coarse to very coarse","angular",
"SIND-001-PZ",4.9,,"Clay with interbeds of sand","yellow","fine","rounded to subrounded",
"SIND-001-PZ",8.25,,"Basalt weathered","greyish black","hard","rounded to subrounded",
"SIND-001-PZ",12,,"Basalt weathered/fractured","greyish black","medium","subangular",
"SIND-001-PZ",16.5,,"Basalt hard","greyish black","fine to medium","rounded",
"SIND-001-PZ",25,,"Basalt hard","greyish black","hard","subangular to angular",
"SIND-001-PZ",26.5,,"Red bole","red","fine","subangular-subrounded",
"SIND-001-PZ",28.35,,"Basalt weathered","greyish black","medium","subangular",
"SIND-001-PZ",30,,"Basalt fractured","greyish black",,"subangular",
"SIND-002-PZ",1.2,,"B.C.soil","black","very fine","subangular-subrounded",
"SIND-002-PZ",1.5,,"Clay with interbeds of sand","yellow","fine to medium","subangular-subrounded",
"SIND-002-PZ",18,,"Gravel with thin clay","grey","gravel","rounded to subrounded",
"SIND-002-PZ",25.3,,"Basalt hard","black","medium to coarse","subangular",
"SIND-002-PZ",28.05,,"ash bed","greyish black","fine","subangular-subrounded",
"SIND-002-PZ",28.65,,"Red bole","red","fine to medium","subangular",
"SIND-002-PZ",30,,"Basalt weathered","greyish black","fine to medium","subangular",
"SIND-003-PZ",0.9,,"B.C.soil","black","very fine","subangular-subrounded",
"SIND-003-PZ",14.65,,"Clay with interbeds of sand","yellow","fine","subangular-subrounded",
"SIND-003-PZ",16.15,,"Basalt weathered","greyish black","fine to medium","subangular",
"SIND-003-PZ",17.4,,"Basalt hard","black","medium","subangular",
"SIND-003-PZ",18.6,,"Basalt weathered","greyish black","fine to medium","subangular",
"SIND-003-PZ",23.5,,"Basalt fractured","brown","coarse","angular",
"SIND-003-PZ",29,,"Basalt hard","greyish black","fine to medium","subangular",
"SIND-003-PZ",33.25,,"ash bed","dull brown","fine","subangular-subrounded",
"SIND-003-PZ",38.11,,"Basalt weathered","greyish black","fine to medium","subangular",
"SIND-004-A-PZ",1.5,,"B.C.soil","black","very fine","subangular-subrounded",
"SIND-004-A-PZ",7,,"Clay with thin gravel layer","yellowish brown","fine to medium","subangular-subrounded",
"SIND-004-A-PZ",10.05,,"Basalt weathered","greyish black","fine to medium","subangular",
"SIND-004-A-PZ",19.8,,"Basalt fractured","greyish black","coarse","angular",
"SIND-004-A-PZ",21,,"Basalt hard","black","fine to medium","subangular",
"SIND-004-A-PZ",26.25,,"Basalt vesicular","greyish black","fine to medium","subangular",
"SIND-004-A-PZ",30,,"Basalt fractured","greyish black","coarse","angular",
"SIND-004-B-PZ",2.15,,"B.C.soil","black","very fine","subangular-subrounded",
"SIND-004-B-PZ",6,,"Clay with thin gravel layer","greyish black","fine to medium","subangular-subrounded",
