Well No,Well Type,Agency,State,District,Tahsil / Taluk,Block / Mandal,Village,Hamlet,Survey No,Owner,Additonal Information,Basin Code,Sub Basin,Minor Basin,Geology,Geomorphology,Toposheet No,Latitude,Longitude,Well use,Surface Water Influence,Local Morphology,Command Area,Name of Command,Well Location,Depth to Water Level,Height of Measuring Point,Elevation of Ground Level,DWLR installed,DWLR No,DWLR type,stratigraphy,Station Name,MonitorFrom,MonitorTo,Land Use,Monitoring Type,WQ Issue,Abstraction,Easting,Northing,Category
"SIND-001-PZ","Bore Well","sgwo","12","Indore","Depalpur","Depalpur","Agra","Sachivalaya",,"Government.","defunked","015","Chamble","Kshpra","BAS","PP","46N09","224900","753836","Monitoring","Low","PL",0,,"near panchayat bhawan compound.",,0.44999999,532.1,0,,,"Deccan Trap","DEPALPUR",,,"Agricultural",,,,75.643333,22.816668,
"SIND-002-PZ","Bore Well","sgwo","12","Indore","Depalpur","Depalpur","Ushapura","School",,"Government",,"015","Chamble","Ghamber","BAS","PP","46N09","224828","754105","Monitoring","Low","PL",0,,"in the school compound.",,0.64999998,523.65,0,"1133","Msquared","Deccan Trap","DEPALPUR",,,"Agricultural",,,,75.684723,22.807777,
"SIND-003-PZ","Bore Well","sgwo","12","Indore","Depalpur","Depalpur","Mirzapur","Government Land",,"Government",,"015","Chamble","Ghamber","BAS","PP","46N09","224941","754058","Monitoring","Low","PL",1,"Yashwant Sagar","near shitla mata tample compound.",,0.80000001,578.25,0,"0","Msquared","Deccan Trap","DEPALPUR",,,"Agricultural",,,,75.682777,22.828056,
"SIND-004-A-PZ","Bore Well","SGWO","12","Indore","Depalpur","Depalpur","Mendakwas-a","School",,"Government.","chowked","015","Chamble","Chambal","BAS","PP","46N09","225710","753151","Monitoring","Low","PL",0,"Mendakwas Tank","in the school compound.",,0.5,506.1,0,"880","Msquared","Deccan Trap","DEPALPUR",,,"Industrial",,,,75.53083,22.952778,
"SIND-004-B-PZ","Bore Well","sgwo","12","Indore","Depalpur","Depalpur","Mendakwas-b","School",,"Government.",,"015","Chamble","Chambal","BAS","PP","46N09","225710","753151","Monitoring","Low","PL",1,"Mendakwas Tank","in the school compound.",,0.60000002,506,0,"1444","Msquared","Deccan Trap","DEPALPUR",,,"Agricultural",,,,75.53083,22.952778,
"SIND-004-C-PZ","Bore Well","sgwo","12","Indore","Depalpur","Depalpur","Mendakwas-c","School",,"Government.",,"015","Chamble","Chambal","BAS","PP","46N09","225710","753151","Monitoring","Low","PL",0,"Mendakwas Tank.","in the school compond.",,0.69999999,506.2,0,"1296","Msquared","Deccan Trap","DEPALPUR",,,"Agricultural",,,,75.53083,22.952778,
"SIND-005-PZ","Bore Well","sgwo","12","Indore","Depalpur","Depalpur","Methwada","Government Land",,"Government.",,"015","Chamble","Chambal","BAS","PP","46N10","223926","753319","Monitoring","Low","PL",1,"Methwada Tank.","near sh.kalyan singh house.",,0.69999999,533,0,"1449","Msquared","Deccan Trap","DEPALPUR",,,"Agricultural",,,,75.555275,22.657223,
"SIND-006-PZ","Bore Well","sgwo","12","Indore","Mhow","Mhow","Thawlai","Government Land",,"Government.","Bore Fillep Jan-2008","015","Chamble","Chambal","BAS","PP","46N10","223142","753915","Monitoring","Low","PL",0,,"near sh. Ratanlal khati.field.",,0.69999999,559.15,0,"550","Msquared","Deccan Trap","MHOW",,,"Agricultural",,,,75.654167,22.528334,
"SIND-007-PZ","Bore Well","sgwo","12","Indore","Mhow","Mhow","Sutarkhedi","School",,"Government.","NR Bore filled up Well Closed  New Ddrlled in same villag","015","Chamble","Ghamber","BAS","PP","46N14","223315","754725","Monitoring","Low","PL",0,,"in the school compound.",,0.5,568.13,0,,,"Deccan Trap","MHOW",,,"Agricultural",,,,75.790276,22.554167,
"SIND-008-PZ","Bore Well","sgwo","12","Indore","Sanwer","Sanwer","Panchola","Society",,"Government.",,"015","Chamble","Kshpra","BAS","PP","46N13","225933","754657","Monitoring","Low","PL",0,,"in the society compound.",,0.36000001,568.13,0,"1725","Msquared","Deccan Trap","SANWAR",,,"Agricultural",,,,75.782501,22.9925,
"SIND-009-PZ","Bore Well","sgwo","12","Indore","Sanwer","Sanwer","Chandrawatiganj","Panchayat Bhawan",,"Government.",,"015","Chamble","Ghamber","BAS","PP","46M12","225900","754030","Monitoring","Low","PL",0,,"in the panchayat bhawan compound.",,0.89999998,511,0,"1362","Msquared","Deccan Trap","SANWAR",,,"Agricultural",,,,75.675003,22.983334,
"SIND-010-PZ","Bore Well","sgwo","12","Indore","Sanwer","Sanwer","Balriya","Government Land",,"Government.",,"015","Chamble","Ghamber","BAS","PP","46M12","230030","754401","Monitoring","Low","PL",0,"Balriya Tank","Harijan Mohalla.",,0.44999999,516,0,"579","Msquared","Deccan Trap","SANWAR",,,"Agricultural",,,,75.733612,23.008333,
"SIND-011-PZ","Bore Well","sgwo","12","Indore","Sanwer","Sanwer","Dayakheda","Government Land",,"Government.",,"015","Chamble",,"BAS","PP","46N13","225722","754457","Monitoring","Low","PL",0,,"near Sardar ouse.",,0.2,520,0,"572","Msquared","Deccan Trap","SANWAR",,,"Agricultural",,,,75.749168,22.956112,
"SIND-012-PZ","Bore Well","sgwo","12","Indore","Sanwer","Sanwer","Keshripura","School",,"Government.",,"015","Chamble","Kshpra","BAS","PP","46N13","225800","754915","Monitoring","Low","PL",0,,"in the school compound.",,0.43000001,508,0,"1750","Msquared","Deccan Trap","SANWAR",,,"Agricultural",,,,75.820831,22.966667,
"SIND-013-PZ","Bore Well","sgwo","12","Indore","Sanwer","Sanwer","Tarana","School",,"Government.",,"015","Chamble","Kshpra","BAS","PP","46N13","223339","755111","Monitoring","Low","PL",0,,"in the primary school compound.",,0.73000002,514,0,,,"Deccan Trap","SANWAR",,,"Agricultural",,,,75.853058,22.560833,
"SIND-014-PZ","Bore Well","sgwo","12","Indore","Sanwer","Sanwer","Siloda Bujurg","Government Land",,"Government.",,"015","Chamble","Kshpra","BAS","PP","46N13","225446","755108","Monitoring","Low","PL",0,,"On Baloda Road.",,0.23999999,514,0,"1754","Msquared","Deccan Trap","SANWAR",,,"Agricultural",,,,75.852219,22.912777,
"SIND-015-PZ","Bore Well","sgwo","12","Indore","Sanwer","Sanwer","Alwasa","School",,"Government.",,"015","Chamble","Kshpra","BAS","BP","46N13","224915","754938","Monitoring","Low","PL",0,,"in the school compound.",,0.75,541,0,"577","Msquared","Deccan Trap","SANWAR",,,"Agricultural",,,,75.827225,22.820833,
"SIND-016-PZ","Bore Well","sgwo","12","Indore","Sanwer","Sanwer","Barlai","Panchayat Bhawan",,"Government.",,"015","Chamble","Kshpra","BAS","PP","46N13","225400","755715","Monitoring","Low","PL",0,,"in the panchayat bhawan compound.",,0.60000002,420,0,"589","Msquared","Deccan Trap","SANWAR",,,"Agricultural",,,,75.95417,22.9,
"SIND-017-PZ","Bore Well","sgwo","12","Indore","Sanwer","Sanwer","Dakachiya","Panchayat Bhawan",,"Government.",,"015","Chamble","Kshpra","BAS","PP","46N13","225132","755731","Monitoring","Low","PL",0,,"in the panchayat bhawan compound.",,0.75,526.24,0,"356","Msquared","Deccan Trap","SANWAR",,,"Agricultural",,,,75.958611,22.858889,
"SIND-018-PZ","Bore Well","sgwo","12","Indore","Sanwer","Sanwer","Mangliya","Panchayat Bhawan",,"Government.","Well Filled up .Jun 2011","015","Chamble","Kshpra","BAS","PP","46N13","224854","755546","Monitoring","Low","PL",0,,"in the panchayat bhawan compound.",,0.47,538.38,0,"515","Msquared","Deccan Trap","SANWAR",,,"Agricultural",,,,75.929443,22.815001,
"SIND-019-A-PZ","Bore Well","sgwo","12","Indore","Indore","Indore","Bagamkhedi A","Near School",,"Government",,"015","Chamble","Kshpra","BAS","BP","46N14","224426","755921","Monitoring","Low","PL",0,,"near school.",,0.30000001,541.89,0,"350","Msquared","Deccan Trap","INDORE",,,"Agricultural",,,,75.989166,22.740555,
"SIND-019-B-PZ","Bore Well","sgwo","12","Indore","Indore","Indore","Begamkhedi B","School",,"Government.",,"015","Chamble","Kshpra","BAS","PP","46N14","224426","755921","Monitoring","Low","PL",0,,"in the school compound.",,0.60000002,542.11,0,"1748","Msquared","Deccan Trap","INDORE",,,"Agricultural",,,,75.989166,22.740555,
"SIND-019-C-PZ","Bore Well","sgwo","12","Indore","Indore","Indore","Begamkhedi C","School",,"Government.",,"015","Chamble","Kshpra","BAS","BP","46N14","224426","755921","Monitoring","Low","PL",0,,"in the school compound.",,0.60000002,541.86,0,"620","Msquared","Deccan Trap","INDORE",,,"Agricultural",,,,75.989166,22.740555,
"SIND-020-PZ","Bore Well","sgwo","12","Indore","Indore","Indore","Kajipalasiya","Panchayati Bhawan",,"Government.",,"019","Kshipra","Kshpra","BAS","BP","55B02","224047","760146","Monitoring","Low","PL",0,,"in thr panchayat bhawan compound.",,0.47999999,538.73,0,"1741","Msquared","Deccan Trap","INDORE",,,"Agricultural",,,,76.029442,22.679722,
"SIND-021-PZ","Bore Well","sgwo","12","Indore","Indore","Indore","Dhamnay","School",,"Government.","PZ Changed","019","Kshipra","Kshpra","BAS","PP","55B02","223940","760005","Monitoring","Low","PL",0,,"in the school compound.",,0.51999998,556.76,0,"543","Msquared","Deccan Trap","INDORE",,,"Agricultural",,,,76.001389,22.661112,
"SIND-022-PZ","Bore Well","sgwo","12","Indore","Indore","Indore","Mundla Nayta","Co-operative Society",,"Government.",,"019","Kshipra","Kshpra","BAS","PP","46N14","223956","755457","Monitoring","Low","PL",0,,"near cooperative society.",,0.63,580.79,0,"1726","Msquared","Deccan Trap","INDORE",,,"Agricultural",,,,75.915833,22.665556,
"SIND-023-PZ","Bore Well","sgwo","12","Indore","Indore","Indore","Mirzapur","Government Land",,"Government.",,"019","Kshipra","Kshpra","BAS","PP","46N14","223814","755434","Monitoring","Low","PL",0,,"in the school compound.",,0.47,578.25,0,"1738","Msquared","Deccan Trap","INDORE",,,"Agricultural",,,,75.909447,22.637222,
"SIND-024-PZ","Bore Well","sgwo","12","Indore","Indore","Indore","Tillorkhurd","School",,"Government."," Chocked App. 2012","007","Right","kanar","BAS","BP","46N14","223647","755726","Monitoring","Low","PL",0,,"in the school compound.",,0.44999999,578.675,0,,,"Deccan Trap","INDORE",,,"Agricultural",,,,75.957222,22.613056,
"SIND-025-PZ","Bore Well","sgwo","12","Indore","Indore","Indore","Narwal","Ashram",,"Government",,"019","Kshipra","Kshpra","BAS","BP","46N13","224630","755048","Monitoring","Low","PL",0,,"near moni baba ashram.",,0.43000001,556.67,0,"1753","Msquared","Deccan Trap","INDORE",,,"Agricultural",,,,75.846664,22.775,
"SIND-026-PZ","Bore Well","sgwo","12","Indore","Sanwer","Sanwer","Kumredi","School",,"Government.",,"015","Chamble","Kshpra","BAS","PP","46N13","224651","755148","Monitoring","Low","PL",0,,"in the school compound.",,0.34,535,0,"1417","Msquared","Deccan Trap","SANWAR",,,"Agricultural",,,,75.863335,22.780834,
"SIND-027-PZ","Bore Well","sgwo","12","Indore","Indore","Indore","Nawdapanth","School",,"Government",,"015","Chamble","Ghamber","BAS","PP","46N14","224110","754623","Monitoring","Low","PL",0,,"in the school compound.",,0.69999999,549,0,"432","Msquared","Deccan Trap","INDORE",,,"Agricultural",,,,75.773056,22.686111,
"SIND-028-PZ","Bore Well","sgwo","12","Indore","Depalpur","Depalpur","Sagrod","Tilhan Sangh",,"Government.",,"015","Chamble","Ghamber","BAS","PP","46N05","224558","753034","Monitoring","Low","PL",0,,"in the tilhansangh compound.",,0.56,518,0,"473","Msquared","Deccan Trap","DEPALPUR",,,"Agricultural",,,,75.509445,22.766111,
"SIND-029-PZ","Bore Well","sgwo","12","Indore","Depalpur","Depalpur","Bahirampur","Government Land",,"Government.",,"015","Chamble","Ghamber","BAS","PP","46M12","230142","753125","Monitoring","Low","PL",0,,"Near Railway Line",,0.44999999,497,0,"1137","Msquared","Deccan Trap","DEPALPUR",,,"Agricultural",,,,75.523613,23.028334,
"SIND-030-PZ","Bore Well","sgwo","12","Indore","Depalpur","Depalpur","Chander","School",,"Government.","choked","015","Chamble","Chambal","BAS","PP","46N05","224735","753003","Monitoring","Low","PL",0,"Chandar Tank","in the school compound.",,0.85000002,513,0,,,"Deccan Trap","DEPALPUR",,,"Agricultural",,,,75.500832,22.793056,
"SIND-031-PZ","Bore Well","sgwo","12","Indore","Depalpur","Depalpur","Takipura","School",,"Government",,"015","Chamble","Chambal","BAS","PP","46N09","224954","753217","Monitoring","Low","PL",0,,"in the school compound.",,0.51999998,532,0,"1088","Msquared","Deccan Trap","DEPALPUR",,,"Agricultural",,,,75.538055,22.831667,
"SIND-032-PZ","Bore Well","sgwo","12","Indore","Depalpur","Depalpur","Ataheda","Vaterinary Hospital",,"Government.",,"015","Chamble","Ghamber","BAS","PP","46N09","225407","753744","Monitoring","Low","PL",0,,"in the vaterinary hospital compound.",,0.51999998,526,0,"474","Msquared","Deccan Trap","DEPALPUR",,,"Agricultural",,,,75.628891,22.901945,
"SIND-033-PZ","Bore Well","sgwo","12","Indore","Depalpur","Depalpur","Sumtha","School",,"Government",,"015","Chamble","Ghamber","BAS","PP","46N09","225120","753854","Monitoring","Low","PL",1,"Sumtha Tank","in the school compound.",,0.64999998,523,0,"1367","Msquared","Deccan Trap","DEPALPUR",,,"Agricultural",,,,75.648331,22.855556,
"SIND-034-PZ","Bore Well","sgwo","12","Indore","Depalpur","Depalpur","Chimankhedi","School",,"Government.","Well Filled up   Closed Nove 2010","015","Chamble","Ghamber","BAS","PP","46N09","225123","753524","Monitoring","Low","PL",0,,"in the school compound.",,0.41999999,,0,"476","Msquared","Deccan Trap","DEPALPUR",,,"Agricultural",,,,75.589996,22.856388,
"SIND-035-NEW","Bore Well","SGWO","12","Indore","Indore","Indore","Phool Karadiya","School",,"Government",,"015","Yamuna","chambal","BAS","PE","46N04","224743","754225","Monitoring","Low","PL",0,,"SCHOOL CAMPUS",,0.69999999,527,0,,,,"INDORE",,,,,,,75.706947,22.795279,
"SIND-035-PZ","Bore Well","sgwo","12","Indore","Indore","Indore","Phoolkaradiya","School",,"Government.","filled up 2011-Jan.","019","Ghambhir","Ghamber","BAS","PP","46N04","224743","754225","Monitoring","Low","PL",0,,"in the school compound.",,0.54000002,,0,,,"Deccan Trap","DEPALPUR",,,"Agricultural",,,,75.706947,22.795279,
